feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
2.391919932,0.44343646,1.5565455,-0.767380806,1.148846332,1.492140952,1.611631828,-0.834854004,-1.688854263,-0.0777727
1.607854337,-1.874965136,2.258922834,0.90253296,0.081151076,0.787309854,2.157284914,-1.265087062,-2.077015662,-1.13140561
-0.895995853,1.659461025,-0.688502285,-1.35996919,1.454481826,1.207164167,0.060198285,-1.951932226,-1.829531583,1.227799988
1.587327654,-0.047796512,1.732549807,0.957233808,0.839759717,1.622667541,-1.082722071,-2.34905842,-2.619969768,-0.582886721
0.59253372,2.176894538,1.051283681,-0.117239589,1.830428246,1.712999915,1.344355254,0.205554321,-0.737507286,0.733348233
-1.121201327,-4.650313992,1.060557657,0.603704155,-1.251907075,-0.848619665,1.025344307,-3.721385851,-3.228561105,0.107748135
2.087745986,1.377416675,-0.560263584,-0.426326815,1.32511106,0.633510732,1.143193371,-0.847711934,-0.933451515,-0.233997571
-3.071150988,-1.699751939,5.104680512,0.777972363,0.404188786,2.932285707,3.76178482,-0.483350217,-2.891083302,-0.170746639
1.085821319,-0.144494522,0.353304102,-0.154373535,0.682173632,0.797845866,0.034578322,-2.212935073,-2.146042322,-0.860911531
-0.0763308,-1.528396021,-0.328131089,-0.934886693,-0.182654267,0.098192617,0.50959637,-2.864846289,-2.419529247,-0.223069812
-1.680895083,1.078389004,1.50372418,-0.499839597,1.352009396,2.047920828,1.517935742,-0.859792833,-1.846675706,0.279748001
0.890010127,2.601612422,0.20460147,-1.314637396,1.960548655,0.980867932,1.189416083,0.730185032,0.115399346,-1.772578565
-0.860507251,1.456111393,-1.54852726,-0.887855707,1.269685371,0.448120063,-1.590243303,-2.671170748,-1.777625398,0.711957467
1.072520714,-1.157763245,2.181275384,-0.069378367,0.602920275,0.826111075,2.209397559,-0.988096846,-1.844708312,1.89201177
0.627611213,-2.832965556,3.169950464,-0.906807726,-0.130161539,1.427492296,1.156919311,-2.962021403,-3.717171789,1.572306256
-1.334160759,-4.228506823,4.022248546,-0.283727504,-0.846528986,0.993936726,2.856794005,-1.978453212,-3.212054608,0.586797378
-1.126238207,-2.453715031,4.512251969,0.215220733,0.009729659,1.585670301,3.259494382,-0.253857278,-2.10776188,0.766551354
-0.464926174,7.094509885,-2.226620341,-0.377854889,3.793758191,1.273496019,-1.455364296,1.542279134,1.625621469,-0.298130579
-0.008734976,0.90337016,1.219231988,-1.28479616,1.29819616,1.153242845,0.425779047,-0.679570704,-1.209664048,-0.015238047
-0.111490787,0.439842288,0.400336565,1.441805329,0.78655992,1.254363953,0.634156779,-1.597600418,-1.868614035,-0.361577311
-0.424103816,2.968500961,0.855474923,0.491915538,2.289595427,2.081496807,0.630594536,-0.177870103,-1.012210979,0.041125069
-1.871970906,-1.821073144,1.07155233,-1.17324569,0.055351436,0.347812176,-0.505962625,-3.043226726,-2.777300266,0.354873803
0.202225875,2.0842915,0.978673432,0.577248372,1.65115775,1.891690412,1.771969061,0.223222589,-0.826694967,-0.660894337
0.191631962,-1.168922247,3.262357708,1.198532627,0.514970585,1.542683684,4.605668632,0.4677877,-1.432960941,0.798059873
0.983923537,-0.739366969,0.995322483,-0.236760558,0.35251999,0.3142416,1.556613734,-0.673096732,-1.089545705,0.671742482
-0.030252662,-0.04536798,1.098050139,-0.187033629,0.884534331,0.952550806,0.936128862,-1.362322297,-1.773406212,1.954711197
0.476813595,3.019584681,-2.040785843,-0.489841942,1.872961178,0.272679162,-0.298255041,-0.573530718,-0.068810367,-0.095472644
0.511778979,-4.327017282,4.136188578,0.618725838,-0.910453505,0.623414191,3.665126633,-1.058866766,-2.48445265,0.735341154
-1.894382196,1.452360921,1.059683296,0.629637603,1.524827945,1.648795684,1.235523006,-0.55820873,-1.341594783,-0.207584345
-0.715220952,1.598919558,-1.07967352,-0.096629536,1.26663173,0.792492389,-0.078488594,-1.662636367,-1.366364718,-0.139798919
3.089889608,-0.273323633,0.7354221,0.280205541,0.57337995,0.933547933,0.006284411,-2.014225309,-2.097349193,0.115442636
0.39164024,-3.929081781,2.969855024,0.676478669,-0.779926133,0.741668277,3.265436096,-2.217825216,-3.178377616,-0.269352105
1.15048705,1.506205695,0.175239429,-0.250236166,1.378619332,0.919154406,0.202666688,-0.656670977,-0.870037955,-0.317790214
2.070026382,3.934856916,-2.984586284,1.284041007,2.253113134,-0.300637812,-0.380742867,0.125245402,0.893696623,-3.538857725
1.139975115,-0.506166271,3.45833701,-0.101558204,0.935066319,1.321369979,2.901847035,0.731558979,-0.928574294,-0.48227221
1.539017375,1.151738298,0.845484071,0.207880377,1.309329419,0.980376212,0.986747723,-0.17506155,-0.745976295,-0.977237689
1.693325636,0.254456268,2.51248796,0.030675176,1.08326312,1.859668241,3.095846644,0.172811546,-1.382917418,-0.763349187
1.811496882,4.602579911,0.220918801,0.718652628,2.868910533,1.524115495,1.214198607,2.146207381,1.133500017,0.426046487
1.142523561,1.878689762,-0.957471388,2.026739678,1.436352124,0.467687664,0.602556737,-0.564947199,-0.484482278,-0.892941968
1.034109991,1.639577548,0.108139891,0.592036826,1.494209666,1.568163691,0.460291266,-1.465596747,-1.757544359,-1.063993617
-0.999648884,-1.6809053,2.497961594,-0.515767345,0.324768491,1.081761704,1.517729191,-1.754604059,-2.521748887,-0.524348616
-1.506612829,-6.026677258,2.794333773,-1.512297992,-1.872591313,-0.236704195,1.797685659,-3.695663816,-3.870990655,-0.796374475
-2.230320425,-1.854593144,2.229405832,1.880803519,0.149833318,0.998063932,2.96616969,-1.321629995,-2.301105879,0.061028584
2.026802369,-4.084348412,3.031042963,2.059917908,-0.719762449,0.112176557,2.215801562,-2.157796633,-2.796692803,-1.120847154
-0.160463552,3.321103347,-2.310144712,0.527309693,1.975430737,0.296765718,-1.771368825,-1.174831402,-0.296889822,0.052362897
-0.071583472,-0.710672655,1.442380827,1.131578452,0.516312851,0.492517745,2.165426333,-0.386922903,-1.087306743,-1.609520983
0.435587917,-0.507626542,1.395743179,0.352833643,0.710095046,1.349627662,-0.329098792,-2.670924859,-2.851354404,0.456121659
0.1979661,2.439961462,0.244457213,1.234879017,3.296275842,0.171879351,1.083644764,-0.967979221,-1.035114073,-0.517486548
-0.919626938,0.806061065,0.998223182,-1.022136244,1.240541432,0.597745587,1.524505502,0.224604647,-0.414180658,-1.056709448
1.182594359,-2.468762978,3.102972083,-1.979298303,0.031119963,0.714950081,2.319216143,-1.166607096,-2.174148744,-0.148193541
-1.236998901,2.902415128,0.20177909,-0.284912348,2.18763016,1.356248626,0.711009859,0.157712253,-0.396300959,0.640169636
0.484220774,-0.941621763,2.298578249,-0.38140453,0.515038961,1.410260621,2.696008523,-0.859518119,-2.008996648,0.379949558
-0.626224596,3.885160465,-0.929783138,0.14494924,2.283316079,1.829939992,0.831812117,-0.036457623,-0.479566845,1.20799404
-1.176671829,-3.915933358,4.781310109,-0.102133058,-0.564640856,1.616697204,3.638629101,-1.541704769,-3.305754437,0.98994904
0.126475675,0.463177472,0.888948286,-1.580700052,2.008787914,-2.61698358,-0.196227363,1.636574473,1.998399949,-0.531371517
